dataset,generation,adaptive_mean,adaptive_std,naive_mean,naive_std
2,39,3.8,1.7204650534085253,5.8,1.16619037896906
2,40,4.8,2.039607805437114,3.4,1.2
2,41,6.0,1.7888543819998317,4.6,2.4166091947189146
2,42,6.6,2.244994432064365,3.8,2.1354156504062622
2,43,6.6,2.4979991993593593,3.4,0.8
2,44,4.0,1.5491933384829668,6.0,1.4142135623730951
2,45,5.2,0.9797958971132712,4.4,2.0591260281974
2,46,5.8,2.3151673805580453,5.6,2.1540659228538015
2,47,6.0,1.0954451150103321,3.4,0.8
2,48,3.4,1.019803902718557,6.4,3.0724582991474434
2,49,4.8,2.7856776554368237,4.0,1.0954451150103321
2,50,4.2,1.32664991614216,4.2,1.6
2,51,5.4,2.0591260281974,3.8,2.1354156504062622
2,52,4.2,2.2271057451320084,4.6,2.8000000000000003
2,53,4.0,1.0954451150103321,5.6,2.65329983228432
2,54,5.4,1.0198039027185568,5.0,1.8973665961010275
2,55,4.8,2.1354156504062622,4.0,1.4142135623730951
2,56,4.2,1.469693845669907,4.0,1.7888543819998317
2,57,4.2,0.7483314773547882,5.2,1.6
2,58,3.8,1.32664991614216,5.0,2.0976176963403033
2,59,5.6,1.7435595774162693,2.8,1.16619037896906
2,60,5.6,1.3564659966250536,4.0,2.280350850198276
2,61,7.0,4.427188724235731,5.6,2.0591260281974
2,62,4.6,1.3564659966250536,5.2,1.16619037896906
2,63,4.8,1.16619037896906,5.8,3.1240998703626617
2,64,4.4,2.0591260281974,6.2,1.32664991614216
2,65,5.2,2.4,5.2,1.32664991614216
2,66,5.6,1.4966629547095764,4.2,1.6
2,67,4.0,0.6324555320336759,5.8,2.039607805437114
2,68,6.2,1.7204650534085255,5.4,1.9595917942265424
2,69,5.8,2.925747767665559,5.4,1.9595917942265424
2,70,5.0,1.0954451150103321,5.2,1.32664991614216
2,71,6.2,1.16619037896906,3.2,1.469693845669907
2,72,4.8,2.785677655436824,4.2,2.638181191654584
